Company Name,Year,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Status
C_38,2012,2.33,0.59,362.24,1.52,2.32,-53.69,0.35,0.46,-0.07,0.46,-0.31,1
C_1,2013,0.71,0.68,5.88,5.18,0.62,1.41,0.67,-0.15,0.4,0.21,0.12,0
C_2,2013,0.38,0.33,2.63,3.98,0.19,1.09,0.29,-0.29,-0.01,-0.07,0.21,0
C_3,2013,1.38,0.74,4.89,14.67,0.7,3.01,0.14,0.02,0.36,0.01,0.34,1
C_4,2013,1.98,0.47,3.6,2.56,1.69,30.45,0.44,0.07,0.1,-0.01,0.61,1
C_5,2013,1.09,1.19,2.54,8.41,0.57,32.46,0.39,-0.16,0.74,-0.14,0.38,1
C_6,2013,0.88,1.09,2.96,6.39,0.32,1.15,0.16,-0.14,-0.11,-0.15,0.24,0
C_7,2013,5.76,0.19,6.89,3.59,5.58,0,0.62,-0.03,2.18,-0.08,0.82,1
C_8,2013,1,1.56,2.6,6.31,0.49,2.68,0.4,-0.01,0.18,-0.03,0.17,0
C_9,2013,2.21,0.05,0.77,3.65,0.39,-17.71,-0.52,-0.01,-1.14,2.69,0.11,1
C_10,2013,0.66,0.25,3.61,2.77,0.44,3.38,0.15,0.05,0.02,0.03,-0.03,0
C_11,2013,0.84,0.85,4.58,9.08,0.48,3.76,0.44,-0.02,0.11,0.1,0.07,0
C_12,2013,0.15,0.07,2.94,1.36,0.08,-4.27,-0.33,0.04,-0.12,0.15,0.45,0
C_13,2013,1.5,0.46,2.47,1.62,1.22,-125.97,0.19,1.31,-0.03,0.32,-0.21,1
C_14,2013,0.6,0.14,1.11,0.93,0.35,-6.54,0.1,0.05,-0.31,0.25,-0.97,0
C_15,2013,0.63,0.08,0.1,1.52,0.07,-0.95,0.01,0.04,0.01,-0.7,-0.44,0
C_16,2013,11,0.47,3.18,8.05,8.37,109.09,0.46,-0.08,3.33,0.09,0.86,1
C_17,2013,4.84,0.57,4.68,5.11,3.35,-52.27,0.04,0.05,-0.05,0.25,0.56,1
C_18,2013,0.38,0.77,47.36,8.38,0.35,0.57,0.22,-0.3,0.24,-0.11,-0.59,0
C_19,2013,2,0.1,1.12,1.82,1.92,6.21,1,-0.03,0.94,-0.1,0.28,1
C_20,2013,1.98,0.48,2.63,0.94,1.52,12.68,0.19,-0.16,0.05,0.2,-0.22,1
C_21,2013,0.36,0.41,11.97,4.38,0.32,0.5,0.34,0.01,0.2,0,0.09,0
C_22,2013,8.37,0.36,26.26,0.64,8.2,0,0.05,0.14,-0.07,0.19,0.63,1
C_23,2013,0.96,0.45,1.15,1.39,0.56,-0.95,0.46,-0.04,-0.07,0.5,0.06,0
